Titlu,Numar_Autori,Autori_Deputati
Proiectul de hotărâre cu privire la Raportul de activitate al Consiliului Audiovizualului pentru anul 2023,2,"Eugeniu SINCHEVICI, Liliana NICOLAESCU-ONOFREI"
"Proiectul de hotărâre pentru modificarea Hotărârii Parlamentului nr.117/2021 privind grupurile parlamentare de prietenie (anexa nr.4, anexa nr.5, ș.a.)",2,"Alina DANDARA, Ina COȘERU"
"Proiectul de lege pentru modificarea Legii nr. 25/2016 privind aplicarea măsurilor restrictive internaționale (art.5, 6, 7 ș.a.)",2,"Artemie CĂTĂNOI, Vasile GRĂDINARU"
"Proiectul de lege pentru modificarea unor acte normative (Codul civil al Republicii Moldova nr. 1107/2002 – art.2235, 2541; Codul de procedură civilă al Republicii Moldova nr. 225/2003 – art.41'1; ș.a.)",2,"Artemie CĂTĂNOI, Boris POPA"
Proiectul de hotărâre privind numirea în funcția de membru al Consiliului pentru egalitate,2,"Angela MUNTEANU-POJOGA, Artemie CĂTĂNOI"
Proiectul de lege privind importul unor echipamente,2,"Artemie CĂTĂNOI, Lilian CARP"
"Proiectul de lege privind modificarea unor acte normative (Legea nr. 299/2022 privind prevenirea pierderii și risipei de alimente – art.3, 7, 10, ș.a.; Codul Fiscal al Republicii Moldova Nr. 1163/1997 – art.24, 102)",2,"Alexandr TRUBCA, Mariana CUȘNIR"
Proiectul de hotărâre pentru aprobarea Declarației Parlamentului Republicii Moldova cu privire la integrarea europeană a Republicii Moldova,2,"Alexandr TRUBCA, Igor GROSU"
Proiectul de lege pentru interpretarea prevederilor articolului 17 alineatul (17) din Legea nr. 3/2016 cu privire la Procuratură,2,"Igor CHIRIAC, Veronica ROȘCA"
"Proiectul de lege pentru modificarea Anexei nr.2 din Legea nr.1593/2002 cu privire la mărimea, modul și termenele de achitare a primelor de asigurare obligatorie de asistență medicală",2,"Adrian BELÎI, Radu MARIAN"
Proiectul de hotărâre privind desemnarea unui membru al Comisiei Electorale Centrale,2,"Artemie CĂTĂNOI, Veronica ROȘCA"
Proiectul de lege privind pilotarea votului prin corespondență,2,"Adrian BELÎI, Mariana LUCREȚEANU"
Proiectul de lege pentru modificarea Legii privind sistemul unitar de salarizare în sectorul bugetar nr. 270 din 23.11.2018,2,"Liliana NICOLAESCU-ONOFREI, Marcela ADAM"
Proiectul de lege pentru modificarea articolului 43 din Legea insolvabilității nr. 149/2012,2,"Radu MARIAN, Sergiu LAZARENCU"
Proiectul de lege pentru modificarea unor acte normative (Legea nr.435/2006 privind descentralizarea administrativă – art.11; Legea nr. 436/2006 privind administrația publică locală – art.40; ș.a.),2,"Artemie CĂTĂNOI, Ersilia QATRAWI"
"Proiectul de hotărâre pentru modificarea Hotărârii Parlamentului nr.117/2021 privind grupurile parlamentare de prietenie (anexa nr.2, anexa nr.4, ș.a.)",2,"Alina DANDARA, Doina GHERMAN"
Proiectul de lege pentru modificarea articolului 22 din Legea nr.190/2003 cu privire la veterani,2,"Boris MARCOCI, Boris POPA"
Proiectul de lege pentru modificarea articolului 2 din Legea nr.121/2001 cu privire la protecția socială suplimentară a unor categorii de populație,2,"Boris MARCOCI, Boris POPA"
Proiectul de hotărâre cu privire la aprobarea numărului de personal al Procuraturii,2,"Igor CHIRIAC, Veronica ROȘCA"
"Proiectul de lege cu privire la stabilirea moratoriului asupra controlului de stat la întreprinderile micro, mici și mijlocii (cu excepția întreprinderilor din domeniul energetic și financiar-bancar)",2,"Corneliu FURCULIȚĂ, Petru BURDUJA"
Proiectul de hotărâre privind desemnarea reprezentanților din rândul societății civile în funcția de membru al Consiliului Centrului pentru Comunicare Strategică și Combatere a Dezinformării,2,"Eugeniu SINCHEVICI, Liliana NICOLAESCU-ONOFREI"
Proiectul de lege pentru modificarea Legii nr. 121/2001 cu privire la protecția socială suplimentară a unor categorii de populație,2,"Boris MARCOCI, Igor GROSU"
Proiectul de hotărâre privind rezultatul audierii parlamentare cu privire la progresul acțiunilor în procesul de recuperare a mijloacelor financiare sustrase din sistemul bancar - evoluția dosarului „Furtul miliardului”,2,"Alla DAROVANNAIA, Vlad BATRÎNCEA"
"Proiectul de lege pentru modificarea Legii nr.1104/ 2002 cu privire la Centrul Național Anticorupție (art.1, 2`1, 3, ș.a.)",2,"Lilian CARP, Veronica ROȘCA"
"Proiectul de lege pentru modificarea Legii nr.325/2013 privind evaluarea integrității instituționale (art.7, 8, 10, ș.a.)",2,"Andrian CHEPTONAR, Lilian CARP"
"Proiectul de lege privind modificarea unor acte normative (Codul electoral nr. 325/2022 – art.1, 16, 45, ș.a.; Legea privind partidele politice nr. 294/2007 – art.25)",2,"Artemie CĂTĂNOI, Veronica ROȘCA"
