Titlu,Numar_Autori,Autori_Deputati
"Proiectul de hotărâre cu privire la Rezoluția Adunării ,,Moldova Europeană’’, adoptată în Piața Marii Adunări Naționale la 21 mai 2023",2,"Adrian BELÎI, Igor GROSU"
Proiectul de hotărâre cu privire la rapoartele anuale ale organelor de conducere și cele de supraveghere a activității furnizorului public național de servicii media pentru anul 2022,2,"Larisa NOVAC, Liliana NICOLAESCU-ONOFREI"
"Proiectul de lege cu privire la modificarea unor acte normative (Codul muncii al Republicii Moldova nr.154/2003 – art.111; Hotărârea Parlamentului nr.433/1990 cu privire la zilele comemorative, zilele de sărbătoare și la zilele de odihnă în Republica Moldova – pct.1, pct.2)",2,"Alina DANDARA, Veronica ROȘCA"
Proiectul de lege cu privire la modificarea Legii cu privire la comerțul interior nr.231/2010 (art.21`15),2,"Alla PILIPEȚCAIA, Petru BURDUJA"
Proiectul de hotărâre privind modificarea articolului 3 din Hotărârea nr.51/2023 privind constituirea Comisiei speciale pentru selectarea candidaților la funcția de Avocat al Poporului pentru drepturile copilului,2,"Ana CALINICI, Veronica ROȘCA"
Proiectul de lege pentru modificarea articolului 3 din Legea nr.269/2008 privind aplicarea testării la detectorul comportamentului simulat (poligraf),2,"Andrian CHEPTONAR, Oazu NANTOI"
"Proiectul de lege pentru modificarea unor acte normative (Legea nr.192/1998 privind Comisia Națională a Pieței Financiare – art.4, 6, 8, ș.a.; Legea nr. 105/2003 privind protecția consumatorilor – art.28, 28`1; ș.a.)",2,"Marina MOROZOVA, Radu MARIAN"
"Proiectul de hotărâre pentru modificarea punctului 1 din Hotărârea Parlamentului nr.433/1990 cu privire la zilele comemorative, zilele de sărbătoare și zilele de odihnă în Republica Moldova",2,"Gheorghe ICHIM, Oleg CANAȚUI"
Proiectul de lege pentru modificarea și completarea Codului Muncii al Republicii Moldova nr.154/2003 (art.111),2,"Artemie CĂTĂNOI, Boris POPA"
Proiectul de hotărâre cu privire la Raportul general al Consiliului pentru egalitate privind situația în domeniul prevenirii și combaterii discriminării în Republica Moldova în anul 2022,2,"Angela MUNTEANU-POJOGA, Grigore NOVAC"
Proiectul de hotărâre privind aprobarea Platformei de dialog și participare civică în procesul decizional al Parlamentului,2,"Ana CALINICI, Igor GROSU"
"Proiectul de lege pentru modificarea Legii nr.118/2020 privind răspunderea civilă și cerințele de asigurare a operatorilor aerieni și a operatorilor de aeronave (art.1, 3, 4, ș.a.)",2,"Larisa NOVAC, Sergiu LAZARENCU"
Proiectul de hotărâre cu privire la Raportul Avocatului Poporului privind respectarea drepturilor și libertăților omului în Republica Moldova în anul 2022,2,"Angela MUNTEANU-POJOGA, Grigore NOVAC"
Proiectul de hotărâre cu privire la Raportul de activitate al Centrului Național pentru Protecția Datelor cu Caracter Personal pentru anul 2022,2,"Boris MARCOCI, Lilian CARP"
Proiectul de hotărâre pentru aprobarea Programului național de dezvoltare a mass-mediei pentru anii 2023-2026 și a Planului de acțiuni privind implementarea acestuia,2,"Ana OGLINDA, Liliana NICOLAESCU-ONOFREI"
Proiectul de lege pentru modificarea unor acte normative (Codul vamal al Republicii Moldova nr. 1149/2000 – art.184'1; Legea nr. 1569/2002 cu privire la modul de introducere și scoatere a bunurilor de pe teritoriul Republicii Moldova de către persoane fizice – art.10; ș.a.),2,"Ana OGLINDA, Ion GROZA"
"Proiectul de lege pentru modificarea Codului de executare al Republicii Moldova nr. 443/2004 (art.205, 210`1, 213, ș.a.)",2,"Ana RACU, Artemie CĂTĂNOI"
Proiectul de lege pentru modificarea Legii nr.337/2022 privind Programul de rambursare a TVA pentru producătorii agricoli,2,"Alexandr TRUBCA, Viorel BARDA"
Proiectul de lege cu privire la funcționarea cimitirelor,2,"Marcela NISTOR, Oazu NANTOI"
"Proiectul de lege pentru modificarea Legii nr.263/2005 cu privire la drepturile și responsabilitățile pacientului (art.1, 2, 5, ș.a.)",2,"Adrian BELÎI, Ana OGLINDA"
"Proiectul de lege pentru modificarea unor acte normative (Legea nr. 440-XV din 27 iulie 2001 cu privire la zonele economice libere – art.6; Legea nr. 8/2005 cu privire la Portul Internațional Liber „Giurgiulești” – art.3, 6; ș.a.)",2,"Ana OGLINDA, Vasile GRĂDINARU"
Proiectul de hotărâre cu privire la Raportul de activitate al Consiliului Audiovizualului pentru anul 2022,2,"Angela MUNTEANU-POJOGA, Liliana NICOLAESCU-ONOFREI"
Proiectul de lege pentru modificarea articolului 34`1 din Legea cu privire la cultură fizică și sport nr.330/1999,2,"Lilian CARP, Natalia DAVIDOVICI"
Proiectul de lege pentru modificarea unor acte normative (Legea nr.591/1999 cu privire la spațiile verzi ale localităților urbane și rurale – art.20; Legea nr.440/1995 cu privire la zonele și fâșiile de protecție a apelor râurilor și bazinelor de apă – art.12),2,"Ina COȘERU, Mariana CUȘNIR"
Proiectul de lege privind sănătatea și bunăstarea mintală,2,"Ana RACU, Liliana GROSU"
"Proiectul de lege pentru modificarea unor acte normative (Legea nr.212/2004 privind regimul stării de urgență, de asediu și de război – art.4, 5, 6, ș.a.; Legea nr.10/2009 privind supravegherea de stat a sănătății publice – art.55; ș.a.)",2,"Igor CHIRIAC, Lilian CARP"
"Proiectul de lege pentru modificarea articolului 23 din Legea cu privire la mărimea, modul și termenele de achitare a primelor de asigurare obligatorie de asistență medicală nr.1593/2002",2,"Dorian ISTRATII, Efimia BANDALAC"
Proiectul de lege cu privire la modificarea articolului 129 din Codul fiscal nr.1163/1997,2,"Gheorghe ICHIM, Oleg CANAȚUI"
Proiectul de lege privind implementarea considerentelor unor hotărâri ale Curții Constituționale,2,"Adrian BELÎI, Veronica ROȘCA"
Proiectul de hotărâre pentru aprobarea Declarației Parlamentului Republicii Moldova cu privire la agresiunea Federației Ruse împotriva Ucrainei,2,"Alexandr TRUBCA, Oazu NANTOI"
Proiectul Codului funciar,2,"Petru BURDUJA, Radu MUDREAC"
"Proiectul de lege pentru modificarea unor acte normative (Legea nr.166/2017 cu privire la tichetele de masă – art.1, 2, 3, ș.a.; Codul fiscal nr.1163/1997 – art.95, 15`2, 20, 36)",2,"Alexandr TRUBCA, Sergiu LAZARENCU"
Proiectul de lege pentru modificarea și completarea unor acte normative (Legea nr.257/2013 privind resortisanții statelor terțe care au obligația deținerii unei vize și resortisanții statelor terțe care sunt exonerați de obligativitatea deținerii unei vize la traversarea frontierei de stat a Republicii Moldova – anexa nr.1; Legea nr.215/2011 cu privire la frontiera de stat a Republicii Moldova – art.23; ș.a.),2,"Doina GHERMAN, Ion GROZA"
Proiectul de hotărâre privind rechemarea din funcție a reprezentantului permanent al Parlamentului Republicii Moldova în Secretariatul Adunării Interparlamentare a statelor membre ale Comunității Statelor Independente,2,"Doina GHERMAN, Ion GROZA"
Proiectul de lege pentru modificarea art.27 din Legea nr.163/2010 privind autorizarea executării lucrărilor de construcții,2,"Efimia BANDALAC, Larisa VOLOH"
Proiectul de lege pentru modificarea punctului 11 din Note la tabelul 2 din anexa nr. 3 la Legea nr. 270/2018 privind sistemul unitar de salarizare,2,"Radu MARIAN, Sergiu LAZARENCU"
